"Ano","Semestre","Cód. Disciplina","Cód. Turma","Alunos","Professor","Cód. Curso","Curso","Porcentagem de Aprovado","Porcentagem de Dispensado","Porcentagem de Reprovado","Porcentagem de Tr.Parcial","Porcentagem de Não Concl.","Porcentagem de CancMatric","Porcentagem de Repr.Freq"
2021,"1. Semestre","D200888","10",5,"P888402148","139","Curso de Bacharelado em Estatística - Noturno",15,3,82,0,0,0,0
2021,"1. Semestre","D200888","11",17,"P148855320","521","Ciências Econômicas - Diurno",31,0,67,2,0,0,0
2021,"1. Semestre","D200888","11",20,"P394200218","402","Engenharia Florestal",54,0,46,0,0,0,0
2021,"1. Semestre","D200888","12",3,"P512200642","133","Química - Bacharelado",20,0,60,13,7,0,0
2021,"1. Semestre","D200888","12",1,"P512200642","110","Química Industrial",0,0,93,0,7,0,0
2021,"1. Semestre","D200888","13",34,"P394200218","302","Engenharia Civil",68,2,18,0,10,2,0
2021,"1. Semestre","D200888","14",16,"P888402148","305","Engenharia Química",33,0,65,0,2,0,0
2021,"1. Semestre","D200888","50",13,"P148855320","313","Curso de Engenharia de Produção",0,0,100,0,0,0,0
2021,"1. Semestre","D200888","50",2,"P148855320","302","Engenharia Civil",0,0,100,0,0,0,0
2021,"2. Semestre","D200888","10",2,"P888402148","313","Curso de Engenharia de Produção",6,8,78,0,0,8,0
2021,"2. Semestre","D200888","11",16,"P394200218","402","Engenharia Florestal",66,0,30,0,4,0,0
2021,"2. Semestre","D200888","12",13,"P148855320","307","Ciência da Computação - Bacharelado",27,0,61,12,0,0,0
2021,"2. Semestre","D200888","13",16,"P946200888","302","Engenharia Civil",34,2,64,0,0,0,0
2021,"2. Semestre","D200888","14",2,"P512200642","305","Engenharia Química",5,3,93,0,0,0,0
2021,"2. Semestre","D200888","15",25,"P200218642","504","Ciências Econômicas - Noturno",48,0,44,8,0,0,0
2021,"2. Semestre","D200888","T50REA",17,"P394200218","305","Engenharia Química",81,0,19,0,0,0,0
2022,"1. Semestre","D200888","10",5,"P512200642","123","Física - Bacharelado",36,0,21,7,0,0,36
2022,"1. Semestre","D200888","11",1,"P512200642","402","Engenharia Florestal",3,0,13,0,10,0,74
