COD_CURSO,Curso,Porcentagem de Aprovado,Porcentagem Ingressantes Femininos
302,Engenharia Civil,36.121212121212125,40.57377049180328
303,Engenharia Elétrica,26.727272727272727,18.090452261306535
304,Engenharia Mecânica,27.774193548387096,24.074074074074073
305,Engenharia Química,44.121212121212125,55.02392344497608
307,Ciência da Computação - Bacharelado,55.39024390243903,8.130081300813007
309,Curso de Engenharia Sanitária e Ambiental,21.22222222222222,59.13978494623656
310,Curso Engenharia de Controle e Automação,17.46153846153846,12.903225806451612
311,Curso de Engenharia Acústica,25.90909090909091,27.397260273972602
312,Curso de Engenharia de Computação,15.615384615384617,16.666666666666664
313,Curso de Engenharia de Produção,23.73333333333333,46.08695652173913
314,Bacharelado em Sistemas de Informação,44.108108108108105,16.417910447761194
315,Curso de Engenharia Aeroespacial,51.05555555555556,36.75213675213676
316,Curso de Engenharia de Telecomunicações,19.375,24.277456647398843
