"Ano","Semestre","Cód. Disciplina","Cód. Turma","Professor","Cód. Curso","Curso","Porcentagem de Aprovado","Porcentagem de Dispensado","Porcentagem de Reprovado","Porcentagem de Tr.Parcial","Porcentagem de Não Concl.","Porcentagem de CancMatric","Porcentagem de Repr.Freq","Alunos"
"2021","1. Semestre","D200888","10","P888402148",139,"Curso de Bacharelado em Estatística - Noturno",15,3,82,0,0,0,0,33
"2021","1. Semestre","D200888","11","P148855320",521,"Ciências Econômicas - Diurno",31,0,67,2,0,0,0,55
"2021","1. Semestre","D200888","11","P394200218",402,"Engenharia Florestal",54,0,46,0,0,0,0,37
"2021","1. Semestre","D200888","12","P512200642",110,"Química Industrial",0,0,93,0,7,0,0,14
"2021","1. Semestre","D200888","12","P512200642",133,"Química - Bacharelado",20,0,60,13,7,0,0,15
"2021","1. Semestre","D200888","13","P394200218",302,"Engenharia Civil",68,2,18,0,10,2,0,50
"2021","1. Semestre","D200888","14","P888402148",305,"Engenharia Química",33,0,65,0,2,0,0,48
"2021","1. Semestre","D200888","50","P148855320",302,"Engenharia Civil",0,0,100,0,0,0,0,2
"2021","1. Semestre","D200888","50","P148855320",313,"Curso de Engenharia de Produção",0,0,100,0,0,0,0,13
"2021","1. Semestre","D320199","10","A148855320200",303,"Engenharia Elétrica",9,0,10,0,0,0,0,48
"2021","1. Semestre","D320199","10","A380683888642",303,"Engenharia Elétrica",9,0,10,0,0,0,0,48
"2021","1. Semestre","D320199","10","A512642218320",303,"Engenharia Elétrica",9,0,10,0,0,0,0,48
"2021","1. Semestre","D320199","10","A855200218200",303,"Engenharia Elétrica",9,0,10,0,0,0,0,48
"2021","1. Semestre","D320199","10","A893683855461",303,"Engenharia Elétrica",9,0,10,0,0,0,0,48
"2021","1. Semestre","D320199","11","A218148855402",110,"Química Industrial",100,0,0,0,0,0,0,18
"2021","1. Semestre","D320199","11","A218148855402",133,"Química - Bacharelado",75,4,13,0,4,4,0,24
"2021","1. Semestre","D320199","12","A148855320200",304,"Engenharia Mecânica",1,1,16,0,1,1,0,51
"2021","1. Semestre","D320199","12","A380683888642",304,"Engenharia Mecânica",1,1,16,0,1,1,0,51
"2021","1. Semestre","D320199","12","A512642218320",304,"Engenharia Mecânica",1,1,16,0,1,1,0,51
"2021","1. Semestre","D320199","12","A855200218200",304,"Engenharia Mecânica",1,1,16,0,1,1,0,51
"2021","1. Semestre","D320199","12","A893683855461",304,"Engenharia Mecânica",1,1,16,0,1,1,0,51
"2021","1. Semestre","D320199","13","A292200218320",307,"Ciência da Computação - Bacharelado",82,0,12,0,0,5,0,73
"2021","1. Semestre","D320199","14","A148855320200",302,"Engenharia Civil",4,1,12,0,2,0,0,50
