Ano,Semestre,Cód. Disciplina,Cód. Turma,Professor,Cód. Curso,Curso,Porcentagem de Aprovado,Porcentagem de Dispensado,Porcentagem de Reprovado,Porcentagem de Tr.Parcial,Porcentagem de Não Concl.,Porcentagem de CancMatric,Porcentagem de Repr.Freq,Alunos
2021,1. Semestre,D200888,10,P888402148,139.0,Curso de Bacharelado em Estatística - Noturno,15.0,3.0,82.0,0.0,0.0,0.0,0.0,33.0
2021,1. Semestre,D200888,11,P148855320,521.0,Ciências Econômicas - Diurno,31.0,0.0,67.0,2.0,0.0,0.0,0.0,55.0
2021,1. Semestre,D200888,11,P394200218,402.0,Engenharia Florestal,54.0,0.0,46.0,0.0,0.0,0.0,0.0,37.0
2021,1. Semestre,D200888,12,P512200642,110.0,Química Industrial,0.0,0.0,93.0,0.0,7.0,0.0,0.0,14.0
2021,1. Semestre,D200888,12,P512200642,133.0,Química - Bacharelado,20.0,0.0,60.0,13.0,7.0,0.0,0.0,15.0
2021,1. Semestre,D200888,13,P394200218,302.0,Engenharia Civil,68.0,2.0,18.0,0.0,10.0,2.0,0.0,50.0
2021,1. Semestre,D200888,14,P888402148,305.0,Engenharia Química,33.0,0.0,65.0,0.0,2.0,0.0,0.0,48.0
2021,1. Semestre,D200888,50,P148855320,302.0,Engenharia Civil,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0
2021,1. Semestre,D200888,50,P148855320,313.0,Curso de Engenharia de Produção,0.0,0.0,100.0,0.0,0.0,0.0,0.0,13.0
2021,1. Semestre,D320199,10,A148855320200,303.0,Engenharia Elétrica,9.0,0.0,10.0,0.0,0.0,0.0,0.0,48.0
2021,1. Semestre,D320199,10,A380683888642,303.0,Engenharia Elétrica,9.0,0.0,10.0,0.0,0.0,0.0,0.0,48.0
2021,1. Semestre,D320199,10,A512642218320,303.0,Engenharia Elétrica,9.0,0.0,10.0,0.0,0.0,0.0,0.0,48.0
2021,1. Semestre,D320199,10,A855200218200,303.0,Engenharia Elétrica,9.0,0.0,10.0,0.0,0.0,0.0,0.0,48.0
2021,1. Semestre,D320199,10,A893683855461,303.0,Engenharia Elétrica,9.0,0.0,10.0,0.0,0.0,0.0,0.0,48.0
2021,1. Semestre,D320199,11,A218148855402,110.0,Química Industrial,100.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
2021,1. Semestre,D320199,11,A218148855402,133.0,Química - Bacharelado,75.0,4.0,13.0,0.0,4.0,4.0,0.0,24.0
2021,1. Semestre,D320199,12,A148855320200,304.0,Engenharia Mecânica,1.0,1.0,16.0,0.0,1.0,1.0,0.0,51.0
2021,1. Semestre,D320199,12,A380683888642,304.0,Engenharia Mecânica,1.0,1.0,16.0,0.0,1.0,1.0,0.0,51.0
2021,1. Semestre,D320199,12,A512642218320,304.0,Engenharia Mecânica,1.0,1.0,16.0,0.0,1.0,1.0,0.0,51.0
2021,1. Semestre,D320199,12,A855200218200,304.0,Engenharia Mecânica,1.0,1.0,16.0,0.0,1.0,1.0,0.0,51.0
2021,1. Semestre,D320199,12,A893683855461,304.0,Engenharia Mecânica,1.0,1.0,16.0,0.0,1.0,1.0,0.0,51.0
2021,1. Semestre,D320199,13,A292200218320,307.0,Ciência da Computação - Bacharelado,82.0,0.0,12.0,0.0,0.0,5.0,0.0,73.0
2021,1. Semestre,D320199,14,A148855320200,302.0,Engenharia Civil,4.0,1.0,12.0,0.0,2.0,0.0,0.0,50.0
2021,1. Semestre,D320199,14,A380683888642,302.0,Engenharia Civil,4.0,1.0,12.0,0.0,2.0,0.0,0.0,50.0
2021,1. Semestre,D320199,14,A512642218320,302.0,Engenharia Civil,4.0,1.0,12.0,0.0,2.0,0.0,0.0,50.0
2021,1. Semestre,D320199,14,A855200218200,302.0,Engenharia Civil,4.0,1.0,12.0,0.0,2.0,0.0,0.0,50.0
2021,1. Semestre,D320199,14,A893683855461,302.0,Engenharia Civil,4.0,1.0,12.0,0.0,2.0,0.0,0.0,50.0
2021,1. Semestre,D320199,15,A148855320200,315.0,Curso de Engenharia Aeroespacial,11.0,0.0,8.0,0.0,0.0,1.0,0.0,53.0
2021,1. Semestre,D320199,15,A380683888642,315.0,Curso de Engenharia Aeroespacial,11.0,0.0,8.0,0.0,0.0,1.0,0.0,53.0
2021,1. Semestre,D320199,15,A512642218320,315.0,Curso de Engenharia Aeroespacial,11.0,0.0,8.0,0.0,0.0,1.0,0.0,53.0
2021,1. Semestre,D320199,15,A855200218200,315.0,Curso de Engenharia Aeroespacial,11.0,0.0,8.0,0.0,0.0,1.0,0.0,53.0
